物流单号,spu_id,商品名称,品牌,一级分类,发货仓库,目的地城市,物流公司,运输方式,发货日期,预计到达,实际到达,运输天数,物流运费,发货数量,件单价,物流状态
YT2606285862855,3488837427966174803,B13Converse男童短裤官方旗舰透气五分裤 CNVB FB A759,匡威 (CONVERSE),母婴,广州白云仓,大连,极兔速递,同城配送,2026-06-28,2026-07-02,2026-07-05,7,6.63,1,79.0,已延误
YT2604137929944,3470470425300064849,LYP 迪奥 99新 市场价4500,迪奥 (DIOR),个护化妆,上海嘉定仓,哈尔滨,京东物流,陆运快件,2026-04-13,2026-04-14,2026-04-14,1,40.41,18,1299.0,已签收
YT2604309961545,3476799293854242034,B店精选D 迈克 柯尔 98新 市场价2700,绿业 (LYP),运动健康,上海嘉定仓,深圳,圆通快递,特快专递,2026-04-30,2026-05-02,2026-05-05,5,16.18,1,839.0,已延误
YT2606267527339,3453888003154525289,大花袄6536,美玛特,服装,广州白云仓,重庆,极兔速递,航空快件,2026-06-26,2026-06-29,2026-06-29,3,25.53,6,66.57,运输中
YT2604146865875,3440751348956689582,好想你 每日糯玉米200g甜糯玉米棒粒真空粗粮,好想你,食品酒水,上海嘉定仓,宁波,极兔速递,标准快递,2026-04-14,2026-04-17,2026-04-17,3,8.37,1,31.9,已揽收
YT2604237600507,3455774195898837234,心上 宝格丽 99新 公价19500元 KY DBW,宝格丽 (Bvlgari),个护化妆,广州白云仓,大连,圆通快递,航空快件,2026-04-23,2026-04-27,2026-04-29,6,19.25,1,10560.0,已延误
YT2605294823802,3498979426425826034,伊利安慕希希腊风味黄桃燕麦205g 10瓶,安慕希,未分类,成都双流仓,西安,顺丰速运,陆运快件,2026-05-29,2026-06-01,2026-06-01,3,26.45,5,45.0,运输中
YT2604053543521,3480116314310321192,VEECCI唯资眼线胶笔防水不易晕染持久不易脱色,唯资 (VEECCI),个护化妆,北京通州仓,苏州,顺丰速运,同城配送,2026-04-05,2026-04-08,2026-04-11,6,9.76,1,16.99,已延误
YT2604164454766,3503511607089227412,雪中飞女款时尚炫彩长款羽绒服X001411128FW,雪中飞 (SNOW FLYING),未分类,广州白云仓,福州,极兔速递,特快专递,2026-04-16,2026-04-17,2026-04-17,1,24.91,11,299.0,运输中
YT2606037624813,3473993775867637855,维达萌宠手帕纸,维达 (Vinda),家居家装,武汉东西湖仓,武汉,京东物流,航空快件,2026-06-03,2026-06-08,2026-06-08,5,25.84,11,9.17,运输中
YT2606252965933,3456729199056949042,Armani阿玛尼时尚休闲樱花粉石英女表AR1958,阿玛尼 (ARMANI),个护化妆,广州白云仓,杭州,韵达物流,航空快件,2026-06-25,2026-06-27,2026-06-28,3,21.1,2,1199.25,已延误
YT2604095490304,3466129864728381248,衣香丽影针织衫,衣香丽影 (Y.SING),服装,广州白云仓,郑州,韵达物流,特快专递,2026-04-09,2026-04-13,2026-04-13,4,38.45,17,106.06,运输中
YT2604292047759,3379518643531600886,男鞋春季潮鞋百搭透气运动鞋子男四季鞋潮流男士高帮老爹鞋,百名 (BYTHENAME),服装,上海嘉定仓,厦门,德邦物流,同城配送,2026-04-29,2026-05-02,2026-05-02,3,17.03,1,158.0,运输中
YT2604272053459,3473939472448647482,高端款头层牛皮商务正装宴会2021新款 113613007,奥康 (AoKang),服装,上海嘉定仓,宁波,京东物流,航空快件,2026-04-27,2026-04-30,2026-04-30,3,10.44,1,778.0,已签收
YT2604218041001,3450597755158926375,TeenieWeenie Kids小熊童装女童裤子春秋儿童打底裤 TKTM204T66A,teenieweenieKIDS,未分类,成都双流仓,太原,极兔速递,同城配送,2026-04-21,2026-04-22,2026-04-22,1,24.91,6,167.75,已签收
YT2604266482919,3451517301248147836,胖佳佳大码定制黑色百搭腰带HP043298,胖佳佳,箱包饰品,广州白云仓,南昌,申通快递,特快专递,2026-04-26,2026-04-27,2026-04-27,1,27.85,4,24.8,运输中
YT2605245800060,3484542770033591729,奥迪双钻魔法俏佳人 6911400353006,奥迪双钻 (AULDEY),母婴,武汉东西湖仓,宁波,极兔速递,航空快件,2026-05-24,2026-05-29,2026-05-29,5,17.05,1,29.0,已签收
YT2606226187170,3471750632610872505,ZB0015天使之泪S925银扣珈白丽戒指,天使之泪 (ANGEPERLE),珠宝礼品,广州白云仓,济南,京东物流,特快专递,2026-06-22,2026-06-23,2026-06-23,1,19.52,1,399.0,派送中
YT2604023286548,3483062683425711213,南极人内裤女士抗菌纯棉裆无痕三角裤印花纯色夏季新疆棉日系少女,南极人 (NANJIREN),其他,上海嘉定仓,广州,极兔速递,特快专递,2026-04-02,2026-04-04,2026-04-04,2,19.67,1,47.86,派送中
YT2605272366910,3463534096066718845,安踏 安踏童装男童外套130 175CM丝光绒内里保暖 防风,安踏 (ANTA),运动健康,广州白云仓,长沙,韵达物流,航空快件,2026-05-27,2026-05-31,2026-06-01,5,34.01,11,185.3,已延误
YT2605046463822,3482653216209009031,奢道 二奢 LV TWIS限量款 97新,路易威登 (Louis Vuitton),箱包饰品,广州白云仓,厦门,韵达物流,特快专递,2026-05-04,2026-05-06,2026-05-06,2,6.82,1,13800.0,已揽收
YT2605146657766,3479185487674105358,Pepsi百事情侣款跑步运动鞋PS0415105 PS0425105,百事 (Pepsi),运动健康,北京通州仓,宁波,京东物流,标准快递,2026-05-14,2026-05-19,2026-05-22,8,8.49,2,204.38,已延误
YT2605169702173,3444142996382189580,奥克斯烧烤炉家用无烟电烤炉烤肉盘韩式不粘烤肉锅烧烤铁板电烤盘,奥克斯 (AUX),家用电器,武汉东西湖仓,成都,顺丰速运,特快专递,2026-05-16,2026-05-17,2026-05-17,1,16.83,1,174.83,已揽收
YT2605086027211,3456572954714971777,衣香丽影2020年冬季新款大毛领外套901227638,衣香丽影 (Y.SING),服装,武汉东西湖仓,济南,圆通快递,陆运快件,2026-05-08,2026-05-10,2026-05-10,2,15.63,3,839.0,已揽收
YT2604054598028,3472337780351336596,GRN2182A 儿童运动鞋,贵人鸟,母婴,北京通州仓,南京,顺丰速运,特快专递,2026-04-05,2026-04-09,2026-04-12,7,33.07,13,71.7,已延误
YT2605226966298,3462314879321559983,爆爆奢闲置 路易威登 95新 公价 8200 106723,路易威登 (Louis Vuitton),珠宝礼品,北京通州仓,长春,极兔速递,标准快递,2026-05-22,2026-05-25,2026-05-25,3,14.33,1,8399.0,运输中
YT2605208568301,3490141382310535686,500ml一尊天下精品宜宾五粮液浓香型52度白酒,五粮液 (WULIANGYE),食品酒水,北京通州仓,福州,圆通快递,标准快递,2026-05-20,2026-05-24,2026-05-24,4,23.25,2,132.33,已签收
YT2605249776504,3423518221809146427,CPB隔离霜,肌肤之匙 (CPB),未分类,武汉东西湖仓,杭州,顺丰速运,特快专递,2026-05-24,2026-05-29,2026-05-29,5,20.92,1,319.01,运输中
YT2606096969670,3474168752826876897,T21110C6048,特畅恒 (TCH),运动健康,武汉东西湖仓,济南,圆通快递,陆运快件,2026-06-09,2026-06-10,2026-06-13,4,11.23,2,599.25,已延误
YT2604026660569,3447576212866757371,海澜之家保暖双领针织衫HNTJD4E145A,海澜之家 (HLA),服装,北京通州仓,天津,京东物流,航空快件,2026-04-02,2026-04-05,2026-04-08,6,40.84,12,98.29,已延误
YT2605129176562,3473030912818701925,海蓝之谜璀璨净澈洁面泡沫30ML 模板,海蓝之谜 (LA MER),个护化妆,上海嘉定仓,南京,申通快递,航空快件,2026-05-12,2026-05-15,2026-05-15,3,38.83,32,138.72,派送中
YT2604268681730,3432968926097719673,361度运动t恤女透气休闲圆领短袖女562029106,361度,运动健康,上海嘉定仓,合肥,申通快递,同城配送,2026-04-26,2026-04-30,2026-04-30,4,32.44,5,40.5,派送中
YT2605214160274,3488800729794253842,LYP 路易威登 95新 市场价13500,路易威登 (Louis Vuitton),箱包饰品,成都双流仓,西安,圆通快递,同城配送,2026-05-21,2026-05-26,2026-05-26,5,27.94,4,1999.0,已签收
YT2605204737615,3444839805551293309,众烁 冰洁羽绒服女士中长款渐变大毛领冬加厚J90143328D,冰洁 (BINGJIE),服装,成都双流仓,长春,申通快递,标准快递,2026-05-20,2026-05-23,2026-05-24,4,7.28,1,428.0,已延误
YT2604029695853,3470059107019534262,包展捡漏 迪奥,迪奥 (DIOR),箱包饰品,北京通州仓,武汉,圆通快递,特快专递,2026-04-02,2026-04-03,2026-04-03,1,17.17,1,1099.0,已揽收
YT2605311982800,3477480226584451058,秋水伊人碎花印花裙2021年夏新款女装绣花娃娃领连衣裙6120502263,秋水伊人,服装,武汉东西湖仓,济南,顺丰速运,陆运快件,2026-05-31,2026-06-03,2026-06-03,3,117.34,39,162.0,运输中
YT2606057528783,3432076236313257931,306 男鞋运动鞋hot 571946767,361度,运动健康,北京通州仓,济南,韵达物流,同城配送,2026-06-05,2026-06-09,2026-06-10,5,26.31,3,139.0,已延误
YT2605152198380,3446876831322629273,爆爆奢闲置 路易威登 95新 公价 5500 82217,路易威登 (Louis Vuitton),箱包饰品,成都双流仓,郑州,韵达物流,标准快递,2026-05-15,2026-05-17,2026-05-19,4,7.65,1,4400.0,已延误
YT2604291335444,3463193118520834312,DOKKY 拿手项 V领加厚宽松豹纹马甲20206002,DOKKY,服装,广州白云仓,厦门,申通快递,标准快递,2026-04-29,2026-04-30,2026-04-30,1,1264.41,685,49.83,运输中
YT2604058230663,3476551912302711496,阿玛尼臻致丝绒哑光唇釉红管 DD9,阿玛尼 (ARMANI),个护化妆,广州白云仓,大连,中通快递,标准快递,2026-04-05,2026-04-10,2026-04-12,7,9.59,1,188.0,已延误
YT2605077837518,3468059638497443562,时尚显瘦连衣裙,帝倩 (DI E QIAN),服装,北京通州仓,宁波,圆通快递,航空快件,2026-05-07,2026-05-10,2026-05-13,6,20.36,2,163.0,已延误
YT2604215429075,3501050558440187976,梵贞抗皱眼霜 改善细纹淡化黑眼圈补水保湿紧致肌肤,梵贞,未分类,北京通州仓,北京,京东物流,航空快件,2026-04-21,2026-04-24,2026-04-27,6,8.32,1,29.9,已延误
YT2605148736594,3471570142910122952,健美创研兔斯基款230片化妆棉三包,健美创研,个护化妆,上海嘉定仓,昆明,圆通快递,标准快递,2026-05-14,2026-05-17,2026-05-17,3,20.37,11,18.9,派送中
YT2605294812123,3453541631062614214,胖虎天梭 95新 公价2150 992012010053,天梭 (Tissot),珠宝礼品,成都双流仓,合肥,德邦物流,同城配送,2026-05-29,2026-06-01,2026-06-01,3,6.44,1,1190.0,派送中
YT2606139336154,3472969520656853849,YP1 直播 coach 手机包,蔻驰 (COACH),箱包饰品,上海嘉定仓,合肥,顺丰速运,特快专递,2026-06-13,2026-06-14,2026-06-14,1,9.79,1,849.0,已揽收
YT2604263437864,3474919171769391755,361度儿童男中大童夏季短袖短裤套装N52122401,361度,母婴,武汉东西湖仓,宁波,圆通快递,陆运快件,2026-04-26,2026-04-29,2026-04-29,3,17.24,1,99.0,运输中
YT2606231817221,3458396829748720753,谜尚大红BB霜魅力润颜修容霜,谜尚 (Missha),个护化妆,成都双流仓,宁波,京东物流,陆运快件,2026-06-23,2026-06-27,2026-06-27,4,27.92,32,159.0,运输中
YT2605073715633,3502070570399447977,阿迪达斯女子休闲运动短裤 FL0153,阿迪达斯 (Adidas),未分类,北京通州仓,长春,圆通快递,标准快递,2026-05-07,2026-05-08,2026-05-08,1,12.29,3,49.17,已签收
YT2605077707065,3465607040330760932,碧欧泉4件套中样,碧欧泉 (Biotherm),家居家装,北京通州仓,大连,京东物流,标准快递,2026-05-07,2026-05-11,2026-05-11,4,13.63,1,51.33,运输中
YT2604106817020,3468250953621308530,爆爆奢闲置 迪奥 90新 公价 9999 112754,迪奥 (DIOR),个护化妆,成都双流仓,郑州,德邦物流,标准快递,2026-04-10,2026-04-13,2026-04-13,3,19.37,1,2899.0,已揽收
YT2604262310157,3432808193389106979,妖精的口袋高腰阔腿牛仔裤秋季显瘦宽松老爹裤10309008,妖精的口袋 (ELF SACK),服装,武汉东西湖仓,太原,中通快递,特快专递,2026-04-26,2026-04-29,2026-05-01,5,24.11,3,185.02,已延误
YT2604138347206,3421036819461054874,水密码 隔离乳妆前乳保湿遮瑕隐形毛孔裸妆学生隔离霜,水密码 (WETCODE),未分类,上海嘉定仓,太原,顺丰速运,同城配送,2026-04-13,2026-04-16,2026-04-16,3,27.79,15,308.01,已签收
YT2606016996976,3475425144829252321,益叔酸辣柠檬无骨鸡爪200g 盒,益叔,食品酒水,北京通州仓,福州,德邦物流,同城配送,2026-06-01,2026-06-05,2026-06-05,4,21.39,3,25.7,运输中
YT2605049683183,3451911177590993073,红谷牛皮斜挎包迷你菱格链条手机包H4333148,红谷 (HONGU),箱包饰品,武汉东西湖仓,长沙,德邦物流,航空快件,2026-05-04,2026-05-08,2026-05-08,4,12.46,1,199.0,派送中
YT2604277747416,3470086886834491713,茵曼纯棉休闲裤女士直筒百搭2021年春秋新款杏色显瘦洋气长裤子,茵曼 (INMAN),服装,武汉东西湖仓,北京,极兔速递,特快专递,2026-04-27,2026-05-01,2026-05-01,4,23.38,8,161.57,已揽收
YT2605108568906,3460605701431375606,Y 荣耀手表ES 1 64英寸大屏 10天续航 快充 手表,荣耀 (HONOR),手机数码,武汉东西湖仓,哈尔滨,德邦物流,航空快件,2026-05-10,2026-05-15,2026-05-15,5,7.39,1,599.0,已签收
YT2606189783160,3463400363443528467,T202106W03,特畅恒 (TCH),服装,上海嘉定仓,大连,极兔速递,特快专递,2026-06-18,2026-06-20,2026-06-20,2,40.71,22,406.25,已签收
YT2606257801004,3446761811897121922,雅鹿精美包装礼品盒,雅鹿（YALOO）,未分类,上海嘉定仓,青岛,圆通快递,特快专递,2026-06-25,2026-06-27,2026-06-28,3,15.75,3,9.9,已延误
YT2604172853580,3432637756109664195,欧诗漫仙子补水保湿面膜-方琼推荐,欧诗漫 (OSM),未分类,广州白云仓,北京,顺丰速运,特快专递,2026-04-17,2026-04-19,2026-04-19,2,49.41,66,148.77,已签收
YT2606144508873,3483638361623796034,李宁童装休闲运动百搭短袖069,李宁 (LI-NING),母婴,成都双流仓,青岛,中通快递,航空快件,2026-06-14,2026-06-19,2026-06-20,6,9.27,1,49.0,已延误
YT2604265673374,3444698617175226923,W93 雪中飞羽绒服女X00145472F,雪中飞 (SNOW FLYING),未分类,武汉东西湖仓,宁波,中通快递,航空快件,2026-04-26,2026-04-29,2026-04-29,3,19.57,1,499.0,已签收
YT2604182554911,3472501693416121516,春季薄款AE刺绣卫裤,薇婉伊人,运动健康,北京通州仓,北京,极兔速递,航空快件,2026-04-18,2026-04-20,2026-04-23,5,198.78,270,39.9,已延误
YT2604051066756,3467663236822887880,巴布豆春秋新款女童双网运动鞋休闲防滑鞋27 37码 GL2051,巴布豆 (BOBDOG),母婴,北京通州仓,济南,圆通快递,特快专递,2026-04-05,2026-04-10,2026-04-10,5,21.53,2,71.26,已签收
YT2605309757686,3469143647541402262,匡威1970s低帮帆布鞋夏季必备,匡威 (CONVERSE),其他,成都双流仓,太原,极兔速递,陆运快件,2026-05-30,2026-06-04,2026-06-04,5,23.6,5,69.0,已签收
YT2604308590404,3417549980167179986,女童书包27663180274,巴拉巴拉 (BALABALA),未分类,成都双流仓,厦门,中通快递,航空快件,2026-04-30,2026-05-05,2026-05-05,5,22.24,2,59.01,运输中
YT2605307846465,3442080040030981556,兰芝夜间修护唇膜20g 润唇护唇,兰芝 (Laneige),未分类,广州白云仓,太原,德邦物流,特快专递,2026-05-30,2026-06-04,2026-06-04,5,86.04,38,125.01,已揽收
YT2604195841390,3481950368508845706,店播Converse 短袖T恤 CNVB TE B709,匡威 (CONVERSE),运动健康,北京通州仓,大连,中通快递,陆运快件,2026-04-19,2026-04-24,2026-04-24,5,13.74,1,99.0,已签收
YT2605071330826,3502523034340821293,冰洁女款时尚经典羽绒服B0521B82018,冰洁 (BINGJIE),未分类,北京通州仓,南宁,顺丰速运,标准快递,2026-05-07,2026-05-08,2026-05-08,1,22.64,7,99.0,派送中
YT2605214495350,3433236435896026022,N04 雪中飞羽绒马甲男X90133225F 陶冶,雪中飞 (SNOW FLYING),未分类,广州白云仓,成都,顺丰速运,航空快件,2026-05-21,2026-05-23,2026-05-23,2,17.9,1,138.01,已揽收
YT2604243720328,3434403131482599782,MIUCO干练气质百搭衬衫 高腰修身包臀鱼尾半裙套装女装2020秋新款,MIUCO,服装,武汉东西湖仓,天津,韵达物流,标准快递,2026-04-24,2026-04-29,2026-05-02,8,21.34,2,147.95,已延误
YT2605214105522,3466737634771126656,一叶子玫瑰甜橙晶采亮肤面膜,一叶子 (One Leaf),个护化妆,成都双流仓,南宁,极兔速递,标准快递,2026-05-21,2026-05-24,2026-05-24,3,2109.46,1488,98.97,运输中
YT2605295579917,3485628327388180957,丽森麻忆 文艺苎麻宽松休闲圆领显瘦中裙X21608L3,丽森麻忆,服装,广州白云仓,南宁,顺丰速运,航空快件,2026-05-29,2026-06-01,2026-06-02,4,19.96,2,33.75,已延误
YT2606185045151,3453863403746113908,J11TB大号小香风羊皮链条包3色,德锐 (derry),箱包饰品,北京通州仓,南京,顺丰速运,同城配送,2026-06-18,2026-06-21,2026-06-21,3,9.98,1,2419.0,已签收
YT2605116331108,3466545009715751867,凯艳家宝宝咬咬乐水果辅食器,凯艳家,其他,武汉东西湖仓,深圳,韵达物流,陆运快件,2026-05-11,2026-05-16,2026-05-16,5,10.27,2,9.9,已揽收
YT2606116653293,3482873026368921510,品牌直播 立白柔风开心朵朵纸面巾30包装,柔风,家居家装,武汉东西湖仓,宁波,中通快递,同城配送,2026-06-11,2026-06-12,2026-06-12,1,14.26,2,29.9,运输中
YT2606204312458,3460245379302460008,蓝月亮深层洁净洗衣液柔顺剂组合,蓝月亮 (LANYUELIANG),家居家装,上海嘉定仓,宁波,京东物流,标准快递,2026-06-20,2026-06-24,2026-06-24,4,175.86,68,64.9,已签收
YT2606239473722,3470615663922539943,护贝康特宽口径奶嘴柔软新生儿婴儿宝宝仿真母乳实感防胀气防呛,护贝康 (Forbecome),母婴,上海嘉定仓,杭州,韵达物流,特快专递,2026-06-23,2026-06-26,2026-06-26,3,15.7,2,13.46,已揽收
YT2605093155271,3426073978605805409,Kiehl s 科颜氏 金盏花舒缓保湿面膜 14毫升,科颜氏 (KIEHL'S),未分类,成都双流仓,济南,德邦物流,标准快递,2026-05-09,2026-05-11,2026-05-11,2,27.44,4,73.33,已签收
YT2604198309818,3488484620234827048,金吴针51604旗袍醋酸旗袍,金吴针,服装,成都双流仓,武汉,韵达物流,标准快递,2026-04-19,2026-04-24,2026-04-24,5,11.19,2,1036.5,派送中
YT2604292356260,3459686851110121331,伊芙丽衬衫1B7323571,伊芙丽 (Eifini),服装,北京通州仓,青岛,极兔速递,陆运快件,2026-04-29,2026-04-30,2026-05-02,3,123.04,42,598.0,已延误
YT2605072711532,3495325781498975289,瑾奕臻选 MICHAEL KORS TRAVEL系列小菜篮 粉色,迈克科尔斯 (MICHAEL KORS),箱包饰品,广州白云仓,北京,京东物流,航空快件,2026-05-07,2026-05-08,2026-05-08,1,9.42,2,943.95,已签收
YT2605016618308,3446851667008573712,金莱克冬季女童大棉加厚雪地靴男童皮面防水防滑保暖棉鞋RLF 009,金莱克,母婴,成都双流仓,昆明,申通快递,标准快递,2026-05-01,2026-05-05,2026-05-05,4,231.55,106,93.57,已签收
YT2605301999181,3455087389993791977,CARD GEESE 卡雁 新款毛衣 AKY T533 T274,卡雁(CARD GEESE),服装,北京通州仓,青岛,德邦物流,特快专递,2026-05-30,2026-06-04,2026-06-04,5,19.03,1,239.0,已签收
YT2604266941092,3458386992000303079,十二色眼影 玉兔盘,完美日记 (PERFECT DIARY),个护化妆,武汉东西湖仓,济南,京东物流,航空快件,2026-04-26,2026-04-28,2026-04-28,2,42.97,20,109.9,运输中
YT2605202012364,3471947956326929219,SJZ安踏短袖男2021年夏季新款运动T恤休闲跑步透气半袖152121159,安踏 (ANTA),运动健康,武汉东西湖仓,苏州,极兔速递,特快专递,2026-05-20,2026-05-24,2026-05-24,4,14.55,3,99.0,运输中
YT2604294131363,3454853711527053512,Mbox 朗月耳环DHSC1385,Mbox,珠宝礼品,上海嘉定仓,长沙,申通快递,航空快件,2026-04-29,2026-05-02,2026-05-03,4,30.22,5,55.07,已延误
YT2605076905771,3470603453322106313,浒城古娘芙蓉连衣裙 21B1181,浒城古娘 (hcgn),服装,北京通州仓,成都,中通快递,航空快件,2026-05-07,2026-05-12,2026-05-12,5,37.23,8,842.81,运输中
YT2604083091368,3427411130522442553,马克华菲靴子女790395049045,马克华菲 (Mark Fairwhale),未分类,上海嘉定仓,成都,申通快递,特快专递,2026-04-08,2026-04-09,2026-04-10,2,14.6,1,189.01,已延误
YT2605081874864,3488229035237050842,ANTA 安踏马赫跑鞋男鞋2021夏季新款透气运动鞋 112125586,安踏 (ANTA),运动健康,成都双流仓,厦门,极兔速递,同城配送,2026-05-08,2026-05-09,2026-05-09,1,14.93,2,658.8,已签收
YT2606138148359,3480318207913545070,洁丽雅毛巾家纺 格瑞面巾加厚柔软强吸水,洁丽雅（Grace）,其他,广州白云仓,重庆,顺丰速运,特快专递,2026-06-13,2026-06-17,2026-06-17,4,19.47,2,18.16,派送中
YT2604307591458,3496442576125471922,babycare宝宝吃饭餐椅吸盘玩具,babycare,母婴,上海嘉定仓,天津,京东物流,标准快递,2026-04-30,2026-05-01,2026-05-01,1,26.33,8,53.1,派送中
YT2605245482986,3461375930751153117,复古款女王人像 可拆分可叠戴款项链,POWDERROOM,珠宝礼品,武汉东西湖仓,广州,韵达物流,特快专递,2026-05-24,2026-05-28,2026-05-28,4,10.97,3,61.33,运输中
YT2604255794899,3425139705107337572,女童长裤22083190406,巴拉巴拉 (BALABALA),未分类,成都双流仓,大连,京东物流,陆运快件,2026-04-25,2026-04-29,2026-04-29,4,11.72,3,71.97,已签收
YT2606037043514,3481960133117009985,雅鹿雅鹿t恤女短袖2021年新款,雅鹿（YALOO）,服装,广州白云仓,深圳,极兔速递,陆运快件,2026-06-03,2026-06-06,2026-06-06,3,15.36,1,29.9,已签收
YT2604152786228,3448729802880776264,李宁男款短羽绒服W,李宁 (LI-NING),未分类,武汉东西湖仓,南宁,德邦物流,标准快递,2026-04-15,2026-04-18,2026-04-18,3,62.77,21,294.13,已揽收
YT2606247468362,3483049749240789340,FILA短袖T11W123110F,斐乐 (FILA),运动健康,北京通州仓,厦门,圆通快递,同城配送,2026-06-24,2026-06-28,2026-06-28,4,18.97,2,269.25,运输中
YT2605305017767,3443132130924863977,韩束水库面膜,韩束 (KANS),个护化妆,成都双流仓,长沙,顺丰速运,航空快件,2026-05-30,2026-06-02,2026-06-02,3,69.57,81,88.63,运输中
YT2606182443438,3456417328722534516,A93企鹅妈妈PawinPaw卡通小熊童装女童棉服PCJPA4V48M,paw in paw,母婴,武汉东西湖仓,武汉,京东物流,航空快件,2026-06-18,2026-06-22,2026-06-22,4,49.29,17,494.0,派送中
YT2605291306812,3501786099725039088,吉林敖东 蒲公英茶 5克 30袋,敖东,未分类,成都双流仓,西安,极兔速递,标准快递,2026-05-29,2026-06-02,2026-06-02,4,17.65,1,80.29,已签收
YT2605144999950,3448964956626749404,LYP 路易威登 单肩包 98成新 公价28500,路易威登 (Louis Vuitton),未分类,北京通州仓,太原,顺丰速运,航空快件,2026-05-14,2026-05-15,2026-05-15,1,16.91,1,9810.0,已签收
YT2606207558374,3475790968693872349,光身油壶,森高派,家居家装,成都双流仓,广州,中通快递,陆运快件,2026-06-20,2026-06-25,2026-06-28,8,10.8,6,9.9,已延误
YT2606166500573,3452075485935351051,斯凯奇女鞋冬季15592,斯凯奇 (SKECHERS),运动健康,北京通州仓,成都,中通快递,标准快递,2026-06-16,2026-06-20,2026-06-20,4,10.41,3,232.2,已签收
YT2605028709723,3482352761947956893,8号链接百利信玫瑰,百利信 (玫瑰),食品酒水,北京通州仓,福州,韵达物流,特快专递,2026-05-02,2026-05-07,2026-05-09,7,17.88,2,51.91,已延误
YT2606207403104,3436692997759232964,胖虎LV 99新 公价6800 992009160122,路易威登 (Louis Vuitton),箱包饰品,广州白云仓,天津,京东物流,同城配送,2026-06-20,2026-06-24,2026-06-24,4,19.1,2,5100.0,派送中
YT2606262837116,3456944439329696740,心上 路易威登 9成新 KY DBW,路易威登 (Louis Vuitton),箱包饰品,上海嘉定仓,上海,申通快递,同城配送,2026-06-26,2026-06-29,2026-06-29,3,11.93,1,5760.0,派送中
YT2605286106066,3443913892105950266,飞科电吹风FH6231大功率2000W 六档 折叠 黑色,飞科 (Flyco),家用电器,成都双流仓,合肥,顺丰速运,特快专递,2026-05-28,2026-06-01,2026-06-01,4,97.52,54,59.09,已签收
YT2604037632808,3482152281338685234,Lancome 兰蔻 菁纯臻颜美容液 150ml,兰蔻 (LANCOME),个护化妆,成都双流仓,济南,韵达物流,标准快递,2026-04-03,2026-04-08,2026-04-08,5,26.96,6,321.17,已签收
YT2606059636420,3494761665680033850,鸿星尔克女鞋2021新款网面透气运动鞋女士休闲跑步鞋正品,鸿星尔克 (Erke),运动健康,成都双流仓,太原,德邦物流,航空快件,2026-06-05,2026-06-08,2026-06-08,3,16.79,2,216.11,已签收
YT2605095229214,3446898029116934117,兄妹款加绒加厚卫衣,辰辰妈,服装,北京通州仓,北京,圆通快递,标准快递,2026-05-09,2026-05-12,2026-05-12,3,21.69,2,49.9,运输中
YT2606152800196,3483841376137933876,ONE MORE两件套连衣裙,one more,服装,广州白云仓,昆明,极兔速递,航空快件,2026-06-15,2026-06-16,2026-06-16,1,17.27,9,319.0,派送中
YT2605088713219,3473615511521261846,轻食饺168g大盒装双拼口味,植物教授,食品酒水,武汉东西湖仓,沈阳,圆通快递,同城配送,2026-05-08,2026-05-10,2026-05-10,2,13.54,1,79.0,派送中
YT2605295506914,3442877070005402155,纽西之谜fengjiao净痘洁面乳,纽西之谜 (geoskincare),未分类,成都双流仓,长春,韵达物流,标准快递,2026-05-29,2026-06-03,2026-06-03,5,81.22,68,30.0,运输中
YT2605183794307,3438138121110334768,K23卡帝乐鳄鱼刺绣小雏菊纽扣套头针织衫,卡帝乐鳄鱼 (CARTELO),未分类,上海嘉定仓,重庆,顺丰速运,同城配送,2026-05-18,2026-05-21,2026-05-21,3,15.7,6,99.01,已签收
YT2606039005306,3450399514358337780,马克华菲旗下 MFNEXT1863休闲毛衫780304020016,马克华菲 (Mark Fairwhale),服装,成都双流仓,南京,韵达物流,标准快递,2026-06-03,2026-06-05,2026-06-05,2,206.69,127,134.61,派送中
YT2604031059369,3454927707371079436,1012连衣裙大码胖mm显瘦,爱朴,服装,成都双流仓,宁波,顺丰速运,同城配送,2026-04-03,2026-04-08,2026-04-08,5,13.58,1,258.0,已签收
YT2605068971616,3449060515312217012,511特步猫和老鼠联款卫衣880327050128,特步 (XTEP),未分类,武汉东西湖仓,杭州,韵达物流,标准快递,2026-05-06,2026-05-10,2026-05-10,4,27.86,8,149.0,运输中
YT2605315314877,3479406942554821292,珀莱雅水动力套装,珀莱雅 (PROYA),个护化妆,北京通州仓,宁波,极兔速递,航空快件,2026-05-31,2026-06-05,2026-06-05,5,285.33,130,169.43,派送中
YT2606164619557,3471252527931122481,胖虎普拉达 9新 公价12500 882103190019,普拉达 (PRADA),箱包饰品,广州白云仓,大连,德邦物流,航空快件,2026-06-16,2026-06-21,2026-06-21,5,20.31,1,3999.0,已揽收
YT2606171251704,3438584960926256655,七匹狼长袖衬衫新品2020秋季男士时尚休闲翻领宽松秋装,七匹狼 (SEPTWOLVES),未分类,广州白云仓,厦门,极兔速递,航空快件,2026-06-17,2026-06-20,2026-06-20,3,20.83,2,119.01,运输中
YT2606173490381,3472110423975796309,巴拉巴拉儿童毛衣21 031201520,巴拉巴拉 (BALABALA),母婴,武汉东西湖仓,武汉,圆通快递,航空快件,2026-06-17,2026-06-22,2026-06-22,5,7.67,1,59.9,已签收
